date;people - 14 years or more;people in workforce;employed people;unemployed people;people outside the workforce;people employed in the private sector - registered (excl. work at home);people employed in the private sector - unregistered (excl. work at home);employed people - home worker;employed people - public sector (including state and military);employed people - employees;employed people - freelancer;employed people - Family assistance worker;workforce participation rate (%);unemployment rate (%)
2012-03;155670;95191;87632;7559;60479;33393;10942;6065;10931;3413;20494;2393;61.1;7.9
2012-04;155810;95833;88407;7426;59977;33682;10973;6055;11049;3521;20522;2606;61.5;7.7
2012-05;155920;96179;88863;7317;59741;33841;11018;6115;11081;3523;20463;2822;61.7;7.6
2012-06;156215;96375;89129;7245;59841;34083;11038;6115;11186;3516;20228;2965;61.7;7.5
2012-07;156344;96342;89181;7162;60002;34138;11055;6106;11276;3515;20129;2961;61.6;7.4
2012-08;156543;96458;89428;7030;60085;34240;11089;6110;11366;3555;20122;2946;61.6;7.3
2012-09;156774;96454;89639;6815;60320;34399;11202;6112;11316;3564;20156;2889;61.5;7.1
2012-10;156983;96362;89723;6639;60621;34505;11200;6091;11275;3572;20271;2809;61.4;6.9
2012-11;157240;96386;89867;6519;60855;34580;11151;6107;11193;3625;20390;2821;61.3;6.8
2012-12;157426;96468;89857;6611;60958;34752;10907;6143;11049;3655;20508;2843;61.3;6.9
2013-01;157558;96473;89520;6953;61085;34778;10811;6137;10835;3654;20468;2837;61.2;7.2
2013-02;157732;96577;89133;7444;61155;34755;10758;6098;10768;3647;20315;2792;61.2;7.7
2013-03;158069;96702;88999;7704;61367;34489;10797;6049;10823;3641;20409;2791;61.2;8
2013-04;158240;97032;89437;7596;61207;34582;10779;6049;11029;3703;20482;2812;61.3;7.8
2013-05;158294;97195;89839;7355;61099;34810;10748;6033;11070;3663;20684;2832;61.4;7.6
2013-06;158288;97323;90099;7225;60965;34928;10781;5924;11206;3718;20724;2819;61.5;7.4
2013-07;158455;97481;90388;7093;60974;35177;10701;5917;11270;3736;20809;2778;61.5;7.3
2013-08;158657;97423;90506;6917;61235;35299;10841;5833;11305;3735;20781;2711;61.4;7.1
2013-09;158873;97460;90707;6753;61413;35476;10845;5911;11268;3700;20836;2671;61.3;6.9
2013-10;159068;97356;90828;6528;61712;35700;10784;5916;11258;3734;20776;2661;61.2;6.7
2013-11;159228;97514;91204;6309;61714;35808;10743;5954;11254;3809;20920;2716;61.2;6.5
2013-12;159587;97416;91403;6013;62171;35889;10657;5941;11174;3783;21167;2793;61;6.2
2014-01;159700;97330;91112;6218;62370;35898;10554;5918;11045;3700;21209;2789;60.9;6.4
2014-02;159786;97594;91015;6579;62192;36126;10421;5923;11025;3681;21077;2762;61.1;6.7
2014-03;159959;97783;90782;7001;62176;36237;10389;5900;11139;3697;20789;2633;61.1;7.2
2014-04;160336;98076;91081;6995;62259;36465;10337;5904;11304;3687;20769;2616;61.2;7.1
2014-05;160699;98178;91336;6842;62520;36509;10318;5917;11385;3657;20968;2582;61.1;7
2014-06;160903;98300;91577;6723;62603;36716;10252;5973;11329;3713;20956;2637;61.1;6.8
2014-07;161111;98223;91455;6768;62888;36506;10180;5973;11387;3689;21107;2614;61;6.9
